MeanPrefLANs,StdPrefLANs,MeanWait,StdWait,LANs,Persons,Latency,MeanReachedPersons
1,2,10,2,10,50,107.56923782632427,6.837465564738292
1,2,10,2,10,50,115.40533277024434,8.288770053475936
1,2,10,2,10,50,101.9030914054719,9.078484438430312
1,2,10,2,10,50,85.71862591798217,8.370990237099024
1,2,10,2,10,50,113.1246349952526,9.091794158553547
1,2,10,2,10,50,126.5305012098196,7.6149584487534625
1,2,10,2,10,50,110.35637767177008,8.445850914205344
1,2,10,2,10,50,118.1918957881923,6.410540915395284
1,2,10,2,10,50,122.03242824019827,5.091275167785235
1,2,10,2,10,50,117.13827932627264,10.559345156889496
1,2,10,2,10,50,103.94125856744542,8.818435754189943
1,2,10,2,10,50,111.77064346802857,9.096858638743456
1,2,10,2,10,50,124.02763875680398,5.239680426098535
1,2,10,2,10,50,111.36768925455239,9.259810554803789
1,2,10,2,10,50,127.0726252707798,6.249307479224377
1,2,10,2,10,50,97.35988573567103,9.929362880886426
1,2,10,2,10,50,106.83449613511675,10.48476821192053
1,2,10,2,10,50,115.10876649581611,9.8625
1,2,10,2,10,50,100.22755242352703,10.6421768707483
1,2,10,2,10,50,114.97586698456442,8.297043010752688
2,2,10,2,10,50,125.89281416153364,6.040843214756258
2,2,10,2,10,50,123.17848947742152,6.460212201591512
2,2,10,2,10,50,129.64459671110717,7.887381275440977
2,2,10,2,10,50,103.09057918880251,8.300423131170662
2,2,10,2,10,50,110.8060609354091,8.227456258411843
2,2,10,2,10,50,114.98849789742664,8.585266030013642
2,2,10,2,10,50,125.91089540135471,6.976616231086657
2,2,10,2,10,50,131.05740542166964,5.245110821382008
2,2,10,2,10,50,96.74706591828462,10.24932614555256
2,2,10,2,10,50,115.7055507886973,5.599206349206349
2,2,10,2,10,50,90.97461386153633,7.643646408839779
2,2,10,2,10,50,106.8221040354051,8.243675099866843
2,2,10,2,10,50,106.41205584239016,10.890260631001372
2,2,10,2,10,50,91.56616594075511,8.931412894375857
2,2,10,2,10,50,117.12685893696508,7.064738292011019
2,2,10,2,10,50,112.17847588234217,8.521262002743484
2,2,10,2,10,50,111.48222621858507,5.97265625
2,2,10,2,10,50,123.65924442527977,4.8355263157894735
2,2,10,2,10,50,119.7649236436616,10.524324324324324
2,2,10,2,10,50,122.0191583014395,7.730201342281879
3,2,10,2,10,50,117.60304500927555,7.068212824010914
3,2,10,2,10,50,103.15517739891274,7.026490066225166
3,2,10,2,10,50,100.7361762059769,7.856191744340879
3,2,10,2,10,50,105.40057149981,9.36144578313253
3,2,10,2,10,50,127.10582982151676,7.117105263157895
3,2,10,2,10,50,105.06796695801273,6.910307898259705
3,2,10,2,10,50,105.88438775932049,9.715268225584595
3,2,10,2,10,50,105.17264443310569,12.93193717277487
3,2,10,2,10,50,130.47841272891316,7.251351351351351
3,2,10,2,10,50,105.808537444543,9.916216216216217
3,2,10,2,10,50,115.4614391655181,7.71313672922252
3,2,10,2,10,50,107.66052272680184,8.331062670299728
3,2,10,2,10,50,103.12529928287726,9.240816326530613
3,2,10,2,10,50,115.7493522157626,7.990112994350283
3,2,10,2,10,50,133.01081741426532,5.396301188903567
3,2,10,2,10,50,118.06743478885757,8.769025367156209
3,2,10,2,10,50,105.758613212159,6.702156334231806
3,2,10,2,10,50,136.10126051165668,3.6738836265223274
3,2,10,2,10,50,107.38655760918054,6.273825503355705
3,2,10,2,10,50,113.11552677365444,6.100954979536152
4,2,10,2,10,50,108.15902457981615,7.739368998628258
4,2,10,2,10,50,109.8439513567315,6.956104252400548
4,2,10,2,10,50,118.94054437375927,9.163487738419619
4,2,10,2,10,50,117.21556911042161,4.441295546558704
4,2,10,2,10,50,120.67206953047194,7.048452220726784
4,2,10,2,10,50,110.77256277829694,5.254032258064516
4,2,10,2,10,50,90.49186310518208,8.323962516733602
4,2,10,2,10,50,105.86254534722602,7.59404600811908
4,2,10,2,10,50,126.96213249141246,8.393980848153214
4,2,10,2,10,50,121.46751816564237,7.730717185385656
4,2,10,2,10,50,141.1942018372752,6.1800818553888135
4,2,10,2,10,50,108.86591862983838,7.276510067114094
4,2,10,2,10,50,101.11803253455494,9.057640750670242
4,2,10,2,10,50,111.8229929006754,8.197010869565217
4,2,10,2,10,50,103.31830370023405,7.093023255813954
4,2,10,2,10,50,110.11528897232935,7.392717815344604
4,2,10,2,10,50,120.71523544883652,9.697010869565217
4,2,10,2,10,50,125.37871196631997,7.269076305220883
4,2,10,2,10,50,110.17300433600519,11.268758526603001
4,2,10,2,10,50,101.7931751336702,8.33921302578019
5,2,10,2,10,50,127.52432441259674,5.64524765729585
5,2,10,2,10,50,104.01993987680552,7.4190093708166
5,2,10,2,10,50,120.27148293396301,4.257452574525745
5,2,10,2,10,50,94.75694944427029,6.570281124497992
5,2,10,2,10,50,122.85753490593055,6.806408544726302
5,2,10,2,10,50,109.79768415437273,11.413314840499307
5,2,10,2,10,50,104.39373756589409,8.819345661450924
5,2,10,2,10,50,109.77880901992415,10.210235131396956
5,2,10,2,10,50,124.21385260978327,5.284507042253521
5,2,10,2,10,50,105.26327616395366,7.689564068692206
5,2,10,2,10,50,99.36656587032479,7.914780292942743
5,2,10,2,10,50,106.76818408187609,9.508724832214765
5,2,10,2,10,50,96.21485438493377,8.670255720053836
5,2,10,2,10,50,127.84011465717089,8.439499304589708
5,2,10,2,10,50,109.37861464537636,9.098930481283423
5,2,10,2,10,50,102.8196860169652,7.089903181189488
5,2,10,2,10,50,99.15416714944782,10.193506493506494
5,2,10,2,10,50,119.11661588485657,7.110504774897681
5,2,10,2,10,50,110.7155176433419,7.9144385026737964
5,2,10,2,10,50,112.94960189740316,6.978349120433018
6,2,10,2,10,50,107.9485614672033,6.16734693877551
6,2,10,2,10,50,109.00832581001772,8.450608930987821
6,2,10,2,10,50,110.21968426684994,10.54421768707483
6,2,10,2,10,50,111.77470222043043,11.054794520547945
6,2,10,2,10,50,111.69326034382657,6.148648648648648
6,2,10,2,10,50,99.4942770336851,5.184827586206897
6,2,10,2,10,50,107.7404486873128,7.853856562922869
6,2,10,2,10,50,115.27518560224469,9.862771739130435
6,2,10,2,10,50,99.43444409274025,8.431977559607294
6,2,10,2,10,50,102.75105820338344,6.515731874145007
6,2,10,2,10,50,113.46411147412728,8.61142061281337
6,2,10,2,10,50,115.0223734517571,7.948369565217392
6,2,10,2,10,50,121.46883738406655,4.204389574759945
6,2,10,2,10,50,115.43185224091015,6.284923928077455
6,2,10,2,10,50,118.81316685647748,10.348484848484848
6,2,10,2,10,50,118.83848314278688,5.4779005524861875
6,2,10,2,10,50,120.24307643302447,6.652530779753762
6,2,10,2,10,50,116.5546606934891,7.035182679296346
6,2,10,2,10,50,106.98872699335422,5.365079365079365
6,2,10,2,10,50,106.65948354217772,7.768627450980392
7,2,10,2,10,50,122.07346258319484,5.647471910112359
7,2,10,2,10,50,116.07478542073089,8.0625
7,2,10,2,10,50,119.9285929033548,7.116580310880829
7,2,10,2,10,50,119.4350211798643,6.427041499330656
7,2,10,2,10,50,118.31413859702837,8.722745625841185
7,2,10,2,10,50,94.76853354926675,12.480272108843538
7,2,10,2,10,50,106.78376639832221,7.650904033379694
7,2,10,2,10,50,99.23632014368664,11.507735583684951
7,2,10,2,10,50,130.09367576398702,8.845403899721449
7,2,10,2,10,50,95.78591993217631,7.160614525139665
7,2,10,2,10,50,123.215595805615,5.022251308900524
7,2,10,2,10,50,104.40678892457218,9.368351063829786
7,2,10,2,10,50,94.16727098704042,5.901960784313726
7,2,10,2,10,50,117.72253744669764,8.112449799196787
7,2,10,2,10,50,113.83031551675438,8.425271739130435
7,2,10,2,10,50,120.25360336659152,11.90358126721763
7,2,10,2,10,50,139.82667113651385,5.187837837837838
7,2,10,2,10,50,99.54601773102395,8.604081632653061
7,2,10,2,10,50,93.2867952823841,7.046941678520626
7,2,10,2,10,50,107.32331824591809,10.155826558265582
8,2,10,2,10,50,109.36384267170887,6.117804551539491
8,2,10,2,10,50,114.67204694514868,10.201072386058982
8,2,10,2,10,50,113.33904439568799,8.809917355371901
8,2,10,2,10,50,130.9565616118213,6.787204450625869
8,2,10,2,10,50,106.26733356341052,7.901881720430108
8,2,10,2,10,50,110.84651208967897,4.701333333333333
8,2,10,2,10,50,101.79597936242564,7.188157894736842
8,2,10,2,10,50,119.20292600082902,8.311813186813186
8,2,10,2,10,50,112.47586317767473,8.403768506056528
8,2,10,2,10,50,100.77522651450525,13.212765957446809
8,2,10,2,10,50,98.80958821015435,6.991769547325103
8,2,10,2,10,50,112.35332329210358,10.227576974564926
8,2,10,2,10,50,100.29787075195512,8.621192052980133
8,2,10,2,10,50,102.29594307663166,10.45054945054945
8,2,10,2,10,50,116.7779182144821,6.927953890489913
8,2,10,2,10,50,108.18649548583905,9.288409703504042
8,2,10,2,10,50,106.31820040092042,9.0026525198939
8,2,10,2,10,50,93.07288279869086,9.604109589041096
8,2,10,2,10,50,114.65965893607321,9.666666666666666
8,2,10,2,10,50,111.38639208575998,9.480218281036835
